,genre_id,genre_name
0,12,Adventure
1,28,Action
2,878,Science Fiction
5,53,Thriller
7,80,Crime
12,10751,Family
13,16,Animation
15,35,Comedy
22,18,Drama
33,10749,Romance
36,14,Fantasy
39,37,Western
86,10402,Music
91,27,Horror
92,9648,Mystery
119,36,History
235,10752,War
1740,99,Documentary
