,id,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,runtime,original_language,year
48,274854,The Last Witch Hunter,The Last Witch Hunter,2015-10-21,90000000,146936910,7.6492,6.017,3881,106,en,2015
49,271718,Trainwreck,Trainwreck,2015-07-17,35000000,140795793,4.0355,5.785,2737,125,en,2015
50,357940,Mr. Six,老炮儿,2015-12-18,250000,139191345,1.2884,6.823,178,134,zh,2015
51,257088,Point Break,Point Break,2015-12-03,105000000,133782481,4.7392,5.955,2467,114,en,2015
52,318846,The Big Short,The Big Short,2015-12-11,28000000,133346506,14.2854,7.368,9936,131,en,2015
53,266647,Pan,Pan,2015-09-24,150000000,128388320,4.0922,5.958,2870,111,en,2015
54,373200,Detective Chinatown,唐人街探案,2015-12-31,15000000,125842935,2.1098,6.84,162,135,zh,2015
55,309302,Wolf Totem,狼图腾,2015-02-19,38000000,123205624,2.4759,6.506,404,116,zh,2015
56,300168,Dragon Blade,天將雄師,2015-02-19,65000000,121545703,3.1232,6.405,640,127,zh,2015
57,280092,Insidious: Chapter 3,Insidious: Chapter 3,2015-05-28,10000000,120453155,9.1339,6.289,3662,97,en,2015
58,264999,Magic Mike XXL,Magic Mike XXL,2015-07-01,14800000,117800000,2.8396,6.14,1870,115,en,2015
59,257091,Get Hard,Get Hard,2015-03-26,40000000,111800000,6.4414,6.018,2936,100,en,2015
60,203801,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,2015-08-13,75000000,110045109,8.7219,7.079,6930,116,en,2015
61,256961,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,2015-04-16,38000000,107597242,4.3192,5.17,1711,94,en,2015
62,364324,Chronicles of the Ghostly Tribe,九层妖塔,2015-09-30,0,106380000,2.4283,6.215,226,115,zh,2015
63,263109,Shaun the Sheep Movie,Shaun the Sheep Movie,2015-02-05,25000000,106209378,4.3177,6.984,1534,85,en,2015
64,266294,Sisters,Sisters,2015-12-18,30000000,105000000,3.4661,5.961,1485,118,en,2015
65,296099,Vacation,Vacation,2015-07-28,31000000,104400000,9.1068,6.307,4031,99,en,2015
66,198184,Chappie,Chappie,2015-03-04,49000000,104399548,9.0739,6.79,8552,120,en,2015
67,309809,The Little Prince,The Little Prince,2015-07-29,64000000,101281211,7.3845,7.614,2998,106,en,2015
68,274479,Joy,Joy,2015-12-24,60000000,101134059,3.9711,6.554,4313,124,en,2015
69,261023,Black Mass,Black Mass,2015-09-17,53000000,99975678,5.7875,6.526,3624,123,en,2015
70,314365,Spotlight,Spotlight,2015-11-06,20000000,98690254,7.4265,7.811,8862,129,en,2015
71,298312,The Visit,The Visit,2015-09-10,5000000,98450062,5.5143,6.318,5230,94,en,2015
72,291549,Assassination,암살,2015-07-22,0,96119773,2.5534,7.298,282,140,ko,2015
73,243688,Poltergeist,Poltergeist,2015-05-20,35000000,95682614,5.7016,5.224,2414,93,en,2015
74,205775,In the Heart of the Sea,In the Heart of the Sea,2015-12-03,100000000,93900000,6.5033,6.774,4420,122,en,2015
75,412869,"Yo-kai Watch The Movie 2: Lord Enma and the Stories, Nyan!",映画 妖怪ウォッチ エンマ大王と5つの物語だニャン！,2015-12-19,0,92950446,1.0991,7.9,43,94,ja,2015
76,307081,Southpaw,Southpaw,2015-07-22,30000000,91709827,9.8962,7.364,5875,123,en,2015
77,256040,Bāhubali: The Beginning,బాహుబలి:ద బిగినింగ్,2015-07-10,25130430,90747520,4.5499,7.555,944,159,te,2015
78,335462,Wolf Warrior,战狼,2015-04-02,12000000,89911331,3.0632,6.184,290,90,zh,2015
79,346646,Veteran,베테랑,2015-08-05,7528230,87970000,2.5898,6.9,254,123,ko,2015
80,268238,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,2015-02-26,10000000,85979176,1.9842,6.423,777,122,en,2015
81,286565,Paper Towns,Paper Towns,2015-06-18,12000000,85500000,2.5271,6.155,5199,109,en,2015
82,273481,Sicario,Sicario,2015-09-17,30000000,84997446,14.4663,7.423,9692,122,en,2015
83,329263,Suck Me Shakespeer 2,Fack ju Göhte 2,2015-09-10,0,83027924,0.9809,6.462,1019,115,de,2015
